6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.472605915078243 ,[4.48786961 6.4585486 ] ,282 ,0 ,2.411264777373606e-05 ,  -64.27572049 -64.16325746 -64.14303457 -64.0844981 -64.05936474 -64.03793043 -64.01729747
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,3.835055343953429 ,[3.65242899 4.20466904] ,98 ,0 ,1.7955850473044494e-05 ,  -3.457282474 -3.454186119 -3.452598101 -3.451216354 -3.450471998 -3.446112798 -3.442754502
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.336360881219554 ,[4.26494504 3.77292286] ,8 ,0 ,2.3770111101889686e-05 ,  -15.22826167 -15.20899429 -15.19532984 -15.16601107 -15.16045902 -15.15690723 -15.1460533
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.728615165534958 ,[5.43420266 8.18816927] ,0 ,174 ,2.488299550208398e-05 ,  50.90220598 50.95781291 50.9962756 51.00189294 51.03139159 51.04502445 51.05894789
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.931737520091174 ,[4.87357439 4.55522392] ,133 ,0 ,2.4322738353749918e-05 ,  -69.36409026 -69.30912872 -69.26883358 -69.25993074 -69.20460549 -69.19525587 -69.18928902
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.171448844591474 ,[4.63184585 3.92181525] ,272 ,0 ,2.293295069403646e-05 ,  -59.43108619 -59.35994638 -59.31772994 -59.30145216 -59.29540029 -59.25272414 -59.23303536
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.317070889950926 ,[5.8601986  4.96780872] ,144 ,0 ,2.3556688806143883e-05 ,  -21.61223485 -21.6093041 -21.59537478 -21.58727895 -21.57903901 -21.5736613 -21.56737458
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.15161628202705 ,[3.97617716 4.47815214] ,148 ,220 ,2.2525873070049242e-05 ,  -16.0388274 -15.98309156 -15.97202867 -15.95871065 -15.95273417 -15.94749243 -15.93953214
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.298936025331057 ,[4.09468278 5.06972275] ,0 ,0 ,2.6061539139154958e-05 ,  81.03248484 81.11049774 81.17397557 81.25003333 81.26705687 81.29288368 81.37647302
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,6.577266293750305 ,[5.29807074 7.34218356] ,370 ,0 ,2.337555450470989e-05 ,  -152.7747136 -152.5340818 -152.4841242 -152.4010125 -152.3095701 -152.2715971 -152.2453486
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.116207446104824 ,[6.0906021  4.13040261] ,16 ,0 ,2.5986336020291065e-05 ,  -93.19039724 -93.09372169 -93.02620429 -92.96222858 -92.91682246 -92.90300107 -92.86202749
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.516000972182617 ,[4.52642826 5.34483925] ,212 ,0 ,2.9187761409640724e-05 ,  -56.25666862 -56.16885927 -56.14295951 -56.10687753 -56.08910209 -56.05909727 -56.0151536
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,5.285961220696806 ,[23.39245056 50.10239761] ,235 ,0 ,2.7962217878333286e-05 ,  88.04005911 88.23300574 88.30451175 88.34980043 88.38206296 88.39047236 88.45833829
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.5587383161921275 ,[4.31544356 4.63411013] ,6 ,0 ,2.2978236132424038e-05 ,  64.31486292 64.37223051 64.41422578 64.48814018 64.51197866 64.52593452 64.53913958
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,15.258338759166756 ,[ 7.82035061 22.87299408] ,1 ,0 ,2.6354792409101567e-05 ,  25.60210869 25.67168914 25.68061231 25.69098531 25.7152967 25.72473712 25.73901926
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.736251747729189 ,[4.43735422 5.56646576] ,0 ,0 ,2.5539718558354945e-05 ,  -33.69410171 -33.62969651 -33.62400462 -33.5846976 -33.57435264 -33.56031947 -33.53964986
